100 20 0.9
1 1 1 17.83
1 2 2 11.81
1 3 3 19.00
1 4 4 12.34
1 5 5 16.09
1 6 6 13.57
1 7 7 10.96
1 8 8 14.07
1 9 9 14.96
1 10 10 15.62
1 11 11 18.76
1 12 12 19.93
1 13 13 10.67
1 14 14 11.79
1 15 15 11.88
1 16 16 16.53
1 17 17 15.85
1 18 18 10.15
1 19 19 14.51
1 20 20 10.62
1 21 21 15.36
1 22 22 11.30
1 23 23 12.25
1 24 24 11.40
1 25 25 10.43
1 26 26 10.77
1 27 27 12.85
1 28 28 17.47
1 29 29 14.23
1 30 30 18.11
1 31 31 18.50
1 32 32 13.89
1 33 33 13.26
1 34 34 16.33
1 35 35 13.85
1 36 36 17.44
1 37 37 12.73
1 38 38 11.40
1 39 39 17.94
1 40 40 10.26
1 41 41 10.90
1 42 42 12.96
1 43 43 19.96
1 44 44 15.39
1 45 45 16.99
1 46 46 14.46
1 47 47 18.53
1 48 48 10.72
1 49 49 19.44
1 50 50 12.62
1 51 51 11.86
1 52 52 11.39
1 53 53 16.48
1 54 54 14.09
1 55 55 11.22
1 56 56 14.67
1 57 57 19.22
1 58 58 19.42
1 59 59 13.31
1 60 60 15.25
1 61 61 17.89
1 62 62 12.85
1 63 63 18.48
1 64 64 13.57
1 65 65 15.62
1 66 66 19.59
1 67 67 19.73
1 68 68 14.51
1 69 69 10.74
1 70 70 11.15
1 71 71 14.86
1 72 72 18.72
1 73 73 17.48
1 74 74 12.99
1 75 75 17.84
1 76 76 14.61
1 77 77 17.27
1 78 78 18.46
1 79 79 18.09
1 80 80 14.19
1 81 81 17.47
1 82 82 17.08
1 83 83 16.09
1 84 84 12.67
1 85 85 12.28
1 86 86 15.76
1 87 87 11.80
1 88 88 17.35
1 89 89 10.79
1 90 90 16.33
1 91 91 17.88
1 92 92 18.54
1 93 93 10.56
1 94 94 13.42
1 95 95 13.10
1 96 96 12.00
1 97 97 11.39
1 98 98 12.87
1 99 99 12.68
1 100 100 19.45
1 1 2 20.58
1 2 3 20.85
1 3 4 20.66
1 4 5 18.32
1 5 6 26.12
1 6 7 20.65
1 7 8 16.10
1 8 9 24.95
1 9 10 29.84
1 10 11 22.34
